Vg (V),Id (A),G (S),cycle,idx_in_cycle
0.6200000000000012,-2.64287e-05,-4.2626935483870884e-05,1,89
0.6000000000000012,-2.89683e-05,-4.82804999999999e-05,1,90
0.5800000000000012,-3.16089e-05,-5.4498103448275756e-05,1,91
0.5600000000000012,-3.43441e-05,-6.132874999999988e-05,1,92
0.5400000000000011,-3.71656e-05,-6.882518518518504e-05,1,93
0.5200000000000011,-4.00567e-05,-7.703211538461521e-05,1,94
0.5000000000000011,-4.30093e-05,-8.601859999999981e-05,1,95
0.4800000000000011,-4.60045e-05,-9.584270833333312e-05,1,96
0.4600000000000011,-4.90334e-05,-0.0001065943478260867,1,97
0.44000000000000106,-5.20738e-05,-0.00011834954545454518,1,98
0.42000000000000104,-5.51164e-05,-0.0001312295238095235,1,99
0.400000000000001,-5.81265e-05,-0.00014531624999999964,1,100
0.380000000000001,-6.1117e-05,-0.00016083421052631537,1,101
0.360000000000001,-6.40587e-05,-0.00017794083333333283,1,102
0.34000000000000097,-6.69324e-05,-0.00019685999999999944,1,103
0.32000000000000095,-6.97537e-05,-0.00021798031249999937,1,104
0.30000000000000093,-7.25076e-05,-0.00024169199999999927,1,105
0.2800000000000009,-7.51643e-05,-0.0002684439285714277,1,106
0.2600000000000009,-7.77119e-05,-0.00029889192307692205,1,107
0.24000000000000088,-8.01801e-05,-0.0003340837499999988,1,108
0.22000000000000086,-8.25449e-05,-0.0003752040909090894,1,109
0.20000000000000084,-8.48126e-05,-0.00042406299999999823,1,110
0.18000000000000083,-8.69832e-05,-0.0004832399999999978,1,111
0.1600000000000008,-8.90529e-05,-0.0005565806249999972,1,112
0.1400000000000008,-9.09894e-05,-0.0006499242857142821,1,113
0.12000000000000077,-9.28759e-05,-0.0007739658333333284,1,114
0.10000000000000075,-9.45937e-05,-0.0009459369999999928,1,115
0.08000000000000074,-9.62678e-05,-0.001203347499999989,1,116
0.06000000000000072,-9.78475e-05,-0.001630791666666647,1,117
0.0400000000000007,-9.93558e-05,-0.0024838949999999565,1,118
0.020000000000000684,-0.000100781,-0.005039049999999827,1,119
6.661338147750939e-16,-0.000102123,0.0,1,120
-0.01999999999999935,-0.000103429,0.005171450000000168,1,121
-0.03999999999999937,-0.000104656,0.0026164000000000413,1,122
-0.05999999999999939,-0.000105809,0.0017634833333333513,1,123
-0.0799999999999994,-0.000106935,0.00133668750000001,1,124
-0.09999999999999942,-0.000107973,0.0010797300000000062,1,125
-0.11999999999999944,-0.000108975,0.0009081250000000043,1,126
-0.13999999999999946,-0.000109888,0.0007849142857142888,1,127
-0.15999999999999948,-0.000110782,0.0006923875000000023,1,128
-0.1799999999999995,-0.000111649,0.000620272222222224,1,129
-0.1999999999999995,-0.000112433,0.0005621650000000014,1,130
-0.21999999999999953,-0.000113184,0.0005144727272727285,1,131
-0.23999999999999955,-0.0001139,0.00047458333333333423,1,132
-0.25999999999999956,-0.000114581,0.0004406961538461546,1,133
-0.2799999999999996,-0.000115236,0.0004115571428571435,1,134
-0.2999999999999996,-0.000115836,0.0003861200000000005,1,135
-0.3199999999999996,-0.000116385,0.0003637031250000005,1,136
-0.33999999999999964,-0.000116931,0.0003439147058823533,1,137
-0.35999999999999965,-0.000117479,0.0003263305555555559,1,138
-0.37999999999999967,-0.000117937,0.00031036052631578975,1,139
-0.3999999999999997,-0.000118388,0.0002959700000000002,1,140
-0.4199999999999997,-0.000118788,0.0002828285714285716,1,141
-0.4399999999999997,-0.000119174,0.00027085000000000016,1,142
-0.45999999999999974,-0.000119551,0.0002598934782608697,1,143
-0.47999999999999976,-0.000119857,0.0002497020833333335,1,144
-0.4999999999999998,-0.000120179,0.0002403580000000001,1,145
-0.5199999999999998,-0.000120503,0.00023173653846153853,1,146
-0.5399999999999998,-0.000120756,0.0002236222222222223,1,147
-0.5599999999999998,-0.000121017,0.00021610178571428577,1,148
-0.5799999999999998,-0.000121265,0.00020907758620689661,1,149
-0.5999999999999999,-0.000121481,0.00020246833333333337,1,150
